Date,open,high,low,close,volume,spread,real_volume
2020-10-27 17:00:00,13387.0,13412.0,13336.0,13389.0,1893,3600,0
2020-10-27 18:00:00,13389.0,13602.0,13385.0,13587.0,3113,3600,0
2020-10-27 19:00:00,13587.0,13640.0,13514.0,13639.0,3444,3600,0
2020-10-27 20:00:00,13638.0,13729.0,13598.0,13678.0,2795,3600,0
2020-10-27 21:00:00,13679.0,13739.0,13521.0,13633.0,3285,3600,0
2020-10-27 22:00:00,13633.0,13674.0,13605.0,13652.0,2131,3600,0
2020-10-27 23:00:00,13651.0,13703.0,13570.0,13621.0,2135,3600,0
2020-10-28 00:00:00,13601.0,13733.0,13598.0,13689.0,1708,3600,0
2020-10-28 01:00:00,13689.0,13726.0,13632.0,13718.0,2095,3600,0
2020-10-28 02:00:00,13718.0,13767.0,13582.0,13626.0,2701,3600,0
2020-10-28 03:00:00,13626.0,13739.0,13597.0,13703.0,1909,3600,0
2020-10-28 04:00:00,13702.0,13732.0,13647.0,13705.0,1375,3600,0
2020-10-28 05:00:00,13705.0,13837.0,13685.0,13827.0,1775,3600,0
2020-10-28 06:00:00,13827.0,13835.0,13721.0,13773.0,2118,3600,0
2020-10-28 07:00:00,13773.0,13807.0,13713.0,13738.0,1857,3600,0
2020-10-28 08:00:00,13738.0,13759.0,13672.0,13718.0,1906,3600,0
2020-10-28 09:00:00,13718.0,13764.0,13692.0,13699.0,1281,3600,0
2020-10-28 10:00:00,13699.0,13712.0,13543.0,13653.0,2477,3600,0
2020-10-28 11:00:00,13653.0,13678.0,13558.0,13676.0,2199,3600,0
2020-10-28 12:00:00,13677.0,13692.0,13580.0,13593.0,2118,3600,0
2020-10-28 13:00:00,13594.0,13621.0,13521.0,13547.0,2549,3600,0
2020-10-28 14:00:00,13547.0,13560.0,13304.0,13313.0,4167,3600,0
2020-10-28 15:00:00,13314.0,13355.0,13151.0,13276.0,3800,3600,0
2020-10-28 16:00:00,13276.0,13322.0,13095.0,13097.0,3397,3600,0
2020-10-28 17:00:00,13097.0,13135.0,12889.0,13059.0,4410,3600,0
2020-10-28 18:00:00,13059.0,13229.0,13037.0,13215.0,2927,3600,0
2020-10-28 19:00:00,13215.0,13215.0,13037.0,13131.0,2380,3600,0
2020-10-28 20:00:00,13131.0,13203.0,13005.0,13176.0,2899,3600,0
2020-10-28 21:00:00,13176.0,13231.0,13126.0,13199.0,2683,3600,0
2020-10-28 22:00:00,13199.0,13247.0,13140.0,13157.0,2747,3600,0
2020-10-28 23:00:00,13158.0,13219.0,13146.0,13192.0,2142,3600,0
2020-10-29 00:00:00,13193.0,13199.0,13101.0,13183.0,1122,3600,0
2020-10-29 01:00:00,13183.0,13268.0,13181.0,13250.0,1728,3600,0
2020-10-29 02:00:00,13250.0,13297.0,13232.0,13262.0,1473,3600,0
2020-10-29 03:00:00,13262.0,13298.0,13238.0,13240.0,1802,3600,0
2020-10-29 04:00:00,13240.0,13284.0,13171.0,13271.0,1726,3600,0
2020-10-29 05:00:00,13271.0,13275.0,13206.0,13228.0,927,3600,0
2020-10-29 06:00:00,13228.0,13264.0,13167.0,13263.0,1106,3600,0
2020-10-29 07:00:00,13263.0,13288.0,13227.0,13227.0,1302,3600,0
2020-10-29 08:00:00,13229.0,13277.0,13229.0,13275.0,1048,3600,0
2020-10-29 09:00:00,13276.0,13301.0,13238.0,13264.0,1145,3600,0
2020-10-29 10:00:00,13264.0,13274.0,13112.0,13121.0,1800,3600,0
2020-10-29 11:00:00,13121.0,13173.0,13085.0,13112.0,1860,3600,0
2020-10-29 12:00:00,13112.0,13194.0,13112.0,13181.0,1663,3600,0
2020-10-29 13:00:00,13181.0,13186.0,13034.0,13087.0,2122,3600,0
2020-10-29 14:00:00,13086.0,13160.0,13042.0,13042.0,2348,3600,0
2020-10-29 15:00:00,13042.0,13129.0,12971.0,13119.0,3057,3600,0
2020-10-29 16:00:00,13120.0,13233.0,13088.0,13226.0,2831,3600,0
2020-10-29 17:00:00,13226.0,13468.0,13224.0,13419.0,3034,3600,0
2020-10-29 18:00:00,13419.0,13458.0,13354.0,13427.0,2297,3600,0
2020-10-29 19:00:00,13427.0,13601.0,13388.0,13542.0,2760,3600,0
2020-10-29 20:00:00,13542.0,13629.0,13505.0,13575.0,2369,3600,0
2020-10-29 21:00:00,13575.0,13615.0,13493.0,13549.0,2713,3600,0
2020-10-29 22:00:00,13548.0,13575.0,13491.0,13491.0,2501,3600,0
2020-10-29 23:00:00,13486.0,13512.0,13424.0,13465.0,2352,3600,0
2020-10-30 00:00:00,13466.0,13533.0,13425.0,13507.0,1098,3600,0
2020-10-30 01:00:00,13495.0,13508.0,13384.0,13391.0,2209,3600,0
2020-10-30 02:00:00,13391.0,13481.0,13389.0,13442.0,1920,3600,0
2020-10-30 03:00:00,13443.0,13582.0,13338.0,13577.0,2548,3600,0
2020-10-30 04:00:00,13577.0,13644.0,13537.0,13554.0,2372,3600,0
2020-10-30 05:00:00,13553.0,13566.0,13442.0,13448.0,2144,3600,0
2020-10-30 06:00:00,13448.0,13502.0,13399.0,13424.0,2050,3600,0
2020-10-30 07:00:00,13423.0,13459.0,13379.0,13414.0,2024,3600,0
2020-10-30 08:00:00,13414.0,13483.0,13160.0,13170.0,2690,3600,0
2020-10-30 09:00:00,13170.0,13254.0,13139.0,13192.0,2776,3600,0
2020-10-30 10:00:00,13192.0,13243.0,13114.0,13194.0,2633,3600,0
2020-10-30 11:00:00,13198.0,13326.0,13178.0,13237.0,2619,3600,0
2020-10-30 12:00:00,13236.0,13286.0,13143.0,13272.0,2753,3600,0
2020-10-30 13:00:00,13272.0,13330.0,13210.0,13291.0,2450,3600,0
2020-10-30 14:00:00,13291.0,13360.0,13244.0,13343.0,2421,3600,0
2020-10-30 15:00:00,13343.0,13352.0,13285.0,13328.0,1957,3600,0
2020-10-30 16:00:00,13327.0,13334.0,13225.0,13261.0,2638,3600,0
2020-10-30 17:00:00,13261.0,13356.0,13249.0,13349.0,2601,3600,0
2020-10-30 18:00:00,13349.0,13539.0,13347.0,13536.0,2424,3600,0
2020-10-30 19:00:00,13537.0,13575.0,13491.0,13519.0,2376,3600,0
2020-10-30 20:00:00,13519.0,13563.0,13460.0,13520.0,2393,3600,0
2020-10-30 21:00:00,13520.0,13547.0,13493.0,13526.0,1864,3600,0
2020-10-30 22:00:00,13526.0,13536.0,13475.0,13527.0,2049,3600,0
2020-10-30 23:00:00,13527.0,13658.0,13504.0,13626.0,1851,3600,0
2020-11-02 00:00:00,13806.0,13806.0,13661.0,13688.0,1477,3600,0
2020-11-02 01:00:00,13688.0,13751.0,13633.0,13743.0,2219,3600,0
2020-11-02 02:00:00,13744.0,13821.0,13743.0,13798.0,2586,3600,0
2020-11-02 03:00:00,13799.0,13805.0,13747.0,13749.0,1726,3600,0
