Date,symbol,open,High,Low,Close,volume
2024-08-02 07:00:00,BINANCE:BTCUSDT,65354.02,65596.14,64895.83,64897.99,882.43436
2024-08-02 08:00:00,BINANCE:BTCUSDT,64898.0,64898.0,64548.01,64647.99,936.14981
2024-08-02 09:00:00,BINANCE:BTCUSDT,64648.0,64821.99,63668.0,64359.91,1590.23256
2024-08-02 10:00:00,BINANCE:BTCUSDT,64359.92,64636.8,64246.0,64609.18,754.34259
2024-08-02 11:00:00,BINANCE:BTCUSDT,64609.17,64655.17,64438.0,64531.99,490.12041
2024-08-02 12:00:00,BINANCE:BTCUSDT,64531.98,64541.72,64078.0,64170.01,1001.77839
2024-08-02 13:00:00,BINANCE:BTCUSDT,64170.01,64640.0,63807.29,64477.21,1386.59857
2024-08-02 14:00:00,BINANCE:BTCUSDT,64477.22,64516.01,64124.87,64164.07,944.57984
2024-08-02 15:00:00,BINANCE:BTCUSDT,64164.07,64610.0,64044.0,64598.01,1005.20836
2024-08-02 16:00:00,BINANCE:BTCUSDT,64598.01,64618.75,64420.8,64511.99,560.78311
2024-08-02 17:00:00,BINANCE:BTCUSDT,64512.0,64873.61,64350.0,64764.93,804.0882
2024-08-02 18:00:00,BINANCE:BTCUSDT,64764.93,64974.0,64649.96,64660.01,932.49056
2024-08-02 19:00:00,BINANCE:BTCUSDT,64660.01,64940.01,64118.6,64846.0,2278.09126
2024-08-02 20:00:00,BINANCE:BTCUSDT,64846.0,65524.01,64558.15,65229.99,2709.88702
2024-08-02 21:00:00,BINANCE:BTCUSDT,65229.99,65366.01,63102.0,63157.95,4724.50891
2024-08-02 22:00:00,BINANCE:BTCUSDT,63157.95,63636.46,62432.9,63416.01,4670.33215
2024-08-02 23:00:00,BINANCE:BTCUSDT,63416.0,63611.24,62964.41,63307.38,1657.67588
2024-08-03 00:00:00,BINANCE:BTCUSDT,63307.39,63456.01,63066.0,63098.01,743.54298
2024-08-03 01:00:00,BINANCE:BTCUSDT,63098.01,63220.0,62784.0,62898.25,1026.49958
2024-08-03 02:00:00,BINANCE:BTCUSDT,62898.24,62981.56,62515.0,62633.57,1627.26837
2024-08-03 03:00:00,BINANCE:BTCUSDT,62633.58,63187.26,62088.0,62622.01,2476.71591
2024-08-03 04:00:00,BINANCE:BTCUSDT,62622.01,62736.01,61286.54,61987.01,2830.77006
2024-08-03 05:00:00,BINANCE:BTCUSDT,61987.02,62250.0,61230.01,61386.01,1492.72604
2024-08-03 06:00:00,BINANCE:BTCUSDT,61386.01,61782.0,61311.0,61498.33,1293.60445
2024-08-03 07:00:00,BINANCE:BTCUSDT,61498.34,61725.78,60903.0,61132.01,2158.32562
2024-08-03 08:00:00,BINANCE:BTCUSDT,61132.01,61390.12,60505.0,61342.01,2498.20118
2024-08-03 09:00:00,BINANCE:BTCUSDT,61342.01,61614.0,61217.99,61450.01,1235.71624
2024-08-03 10:00:00,BINANCE:BTCUSDT,61450.01,61975.0,61310.9,61895.99,1165.23343
2024-08-03 11:00:00,BINANCE:BTCUSDT,61895.99,61981.43,61398.01,61566.25,674.61075
2024-08-03 12:00:00,BINANCE:BTCUSDT,61566.26,61720.34,61512.0,61693.99,369.59368
2024-08-03 13:00:00,BINANCE:BTCUSDT,61694.0,61847.11,61674.69,61827.89,391.96603
2024-08-03 14:00:00,BINANCE:BTCUSDT,61827.89,61906.37,61618.7,61662.01,591.46276
2024-08-03 15:00:00,BINANCE:BTCUSDT,61662.02,61740.6,61480.0,61629.68,536.12938
2024-08-03 16:00:00,BINANCE:BTCUSDT,61629.68,61749.07,61457.89,61735.99,468.75911
2024-08-03 17:00:00,BINANCE:BTCUSDT,61735.98,61885.9,61668.06,61822.01,462.84734
2024-08-03 18:00:00,BINANCE:BTCUSDT,61822.01,62002.39,61785.51,61919.38,528.52742
2024-08-03 19:00:00,BINANCE:BTCUSDT,61919.38,62198.22,61847.04,62002.71,824.67931
2024-08-03 20:00:00,BINANCE:BTCUSDT,62002.71,62040.01,61844.49,62007.99,483.17523
2024-08-03 21:00:00,BINANCE:BTCUSDT,62007.99,62173.01,61900.0,61990.0,522.43205
2024-08-03 22:00:00,BINANCE:BTCUSDT,61990.0,62088.38,60833.33,60879.0,1851.0634
2024-08-03 23:00:00,BINANCE:BTCUSDT,60879.01,61288.0,60387.0,60912.01,3779.61996
2024-08-04 00:00:00,BINANCE:BTCUSDT,60912.01,61015.5,60450.0,60576.0,1471.63779
2024-08-04 01:00:00,BINANCE:BTCUSDT,60575.99,60840.0,60174.54,60243.97,1887.75774
2024-08-04 02:00:00,BINANCE:BTCUSDT,60243.97,60628.24,59920.0,60246.0,2092.03786
2024-08-04 03:00:00,BINANCE:BTCUSDT,60246.01,60716.64,60158.0,60395.97,965.52159
2024-08-04 04:00:00,BINANCE:BTCUSDT,60395.97,60849.93,59850.0,60648.0,1578.50839
2024-08-04 05:00:00,BINANCE:BTCUSDT,60648.0,60765.0,60370.67,60629.84,597.64878
2024-08-04 06:00:00,BINANCE:BTCUSDT,60629.85,60830.0,60380.0,60697.99,899.26063
2024-08-04 07:00:00,BINANCE:BTCUSDT,60697.99,60814.16,60597.32,60747.0,612.35285
2024-08-04 08:00:00,BINANCE:BTCUSDT,60747.0,60774.02,60320.0,60743.58,550.52464
2024-08-04 09:00:00,BINANCE:BTCUSDT,60743.57,61117.63,60714.29,60886.95,879.07402
2024-08-04 10:00:00,BINANCE:BTCUSDT,60886.96,60902.36,60692.0,60735.0,460.77491
2024-08-04 11:00:00,BINANCE:BTCUSDT,60735.0,60792.47,60546.67,60564.12,399.81815
2024-08-04 12:00:00,BINANCE:BTCUSDT,60564.12,60938.54,60542.5,60792.0,468.34097
2024-08-04 13:00:00,BINANCE:BTCUSDT,60792.0,60871.5,60714.6,60819.61,284.28564
